,0,1,country_name
AU,-0.2966907598706197,-0.6219358143955129,Australia
BN,0.6044768585543162,0.19396501239132713,Brunei
CA,-0.24877694013892246,-0.1620968209947217,Canada
CL,0.23574101780635934,0.04800865428799445,Chile
JP,-0.8333800426932222,-0.26307345525387765,Japan
MX,0.004887518190606085,0.5638814557495051,Mexico
MY,0.6449162046350022,-0.14633378331544117,Malaysia
NZ,0.19650143857116018,-0.5117347874419488,New Zealand
PE,-0.09359690952183806,0.28137958611521385,Peru
SG,0.36465797803541766,-0.29054448880209016,Singapore
US,-1.0363397782111203,0.44440778567134903,United States
VN,0.45760341464286086,0.46407665598820314,Vietnam
