voting_country,partner,sim_votes,sim_pct
AU,AU,205.0,1.0
AU,BN,67.0,0.32682926829268294
AU,CA,87.0,0.424390243902439
AU,CL,89.0,0.43414634146341463
AU,JP,41.0,0.2
AU,MX,72.0,0.35121951219512193
AU,MY,65.0,0.3170731707317073
AU,NZ,97.0,0.47317073170731705
AU,PE,88.0,0.4292682926829268
AU,SG,85.0,0.4146341463414634
AU,US,63.0,0.3073170731707317
AU,VN,66.0,0.32195121951219513
BN,AU,67.0,0.43506493506493504
BN,BN,154.0,1.0
BN,CA,85.0,0.551948051948052
BN,CL,94.0,0.6103896103896104
BN,JP,36.0,0.23376623376623376
BN,MX,85.0,0.551948051948052
BN,MY,110.0,0.7142857142857143
BN,NZ,91.0,0.5909090909090909
BN,PE,85.0,0.551948051948052
BN,SG,87.0,0.564935064935065
BN,US,21.0,0.13636363636363635
BN,VN,116.0,0.7532467532467533
CA,AU,87.0,0.3466135458167331
CA,BN,85.0,0.3386454183266932
CA,CA,251.0,1.0
CA,CL,108.0,0.4302788844621514
CA,JP,52.0,0.20717131474103587
CA,MX,90.0,0.35856573705179284
CA,MY,103.0,0.4103585657370518
CA,NZ,111.0,0.44223107569721115
CA,PE,86.0,0.3426294820717131
CA,SG,94.0,0.3745019920318725
CA,US,42.0,0.16733067729083664
CA,VN,98.0,0.3904382470119522
CL,AU,89.0,0.34765625
CL,BN,94.0,0.3671875
CL,CA,108.0,0.421875
CL,CL,256.0,1.0
CL,JP,32.0,0.125
CL,MX,106.0,0.4140625
CL,MY,108.0,0.421875
CL,NZ,112.0,0.4375
CL,PE,112.0,0.4375
CL,SG,118.0,0.4609375
CL,US,25.0,0.09765625
CL,VN,112.0,0.4375
JP,AU,41.0,0.422680412371134
JP,BN,36.0,0.3711340206185567
JP,CA,52.0,0.5360824742268041
JP,CL,32.0,0.32989690721649484
JP,JP,97.0,1.0
JP,MX,40.0,0.41237113402061853
JP,MY,37.0,0.38144329896907214
JP,NZ,46.0,0.4742268041237113
JP,PE,44.0,0.4536082474226804
JP,SG,39.0,0.4020618556701031
JP,US,37.0,0.38144329896907214
JP,VN,35.0,0.36082474226804123
MX,AU,72.0,0.3769633507853403
MX,BN,85.0,0.44502617801047123
MX,CA,90.0,0.4712041884816754
MX,CL,106.0,0.5549738219895288
MX,JP,40.0,0.2094240837696335
MX,MX,191.0,1.0
MX,MY,80.0,0.418848167539267
MX,NZ,89.0,0.46596858638743455
MX,PE,99.0,0.518324607329843
MX,SG,84.0,0.4397905759162304
MX,US,50.0,0.2617801047120419
MX,VN,105.0,0.5497382198952879
MY,AU,65.0,0.33505154639175255
MY,BN,110.0,0.5670103092783505
MY,CA,103.0,0.5309278350515464
MY,CL,108.0,0.5567010309278351
MY,JP,37.0,0.19072164948453607
MY,MX,80.0,0.41237113402061853
MY,MY,194.0,1.0
MY,NZ,113.0,0.5824742268041238
MY,PE,86.0,0.44329896907216493
MY,SG,112.0,0.5773195876288659
MY,US,26.0,0.13402061855670103
MY,VN,108.0,0.5567010309278351
NZ,AU,97.0,0.4597156398104265
NZ,BN,91.0,0.4312796208530806
NZ,CA,111.0,0.5260663507109005
NZ,CL,112.0,0.5308056872037915
NZ,JP,46.0,0.21800947867298578
NZ,MX,89.0,0.4218009478672986
NZ,MY,113.0,0.5355450236966824
NZ,NZ,211.0,1.0
NZ,PE,91.0,0.4312796208530806
NZ,SG,102.0,0.4834123222748815
NZ,US,49.0,0.23222748815165878
NZ,VN,93.0,0.44075829383886256
PE,AU,88.0,0.4731182795698925
PE,BN,85.0,0.45698924731182794
PE,CA,86.0,0.46236559139784944
PE,CL,112.0,0.6021505376344086
PE,JP,44.0,0.23655913978494625
PE,MX,99.0,0.532258064516129
PE,MY,86.0,0.46236559139784944
PE,NZ,91.0,0.489247311827957
PE,PE,186.0,1.0
PE,SG,104.0,0.5591397849462365
PE,US,54.0,0.2903225806451613
PE,VN,95.0,0.510752688172043
SG,AU,85.0,0.44041450777202074
SG,BN,87.0,0.45077720207253885
SG,CA,94.0,0.48704663212435234
SG,CL,118.0,0.6113989637305699
SG,JP,39.0,0.20207253886010362
SG,MX,84.0,0.43523316062176165
SG,MY,112.0,0.5803108808290155
SG,NZ,102.0,0.5284974093264249
SG,PE,104.0,0.538860103626943
SG,SG,193.0,1.0
SG,US,49.0,0.2538860103626943
SG,VN,98.0,0.5077720207253886
US,AU,63.0,0.4064516129032258
US,BN,21.0,0.13548387096774195
US,CA,42.0,0.2709677419354839
US,CL,25.0,0.16129032258064516
US,JP,37.0,0.23870967741935484
US,MX,50.0,0.3225806451612903
US,MY,26.0,0.16774193548387098
US,NZ,49.0,0.3161290322580645
US,PE,54.0,0.34838709677419355
US,SG,49.0,0.3161290322580645
US,US,155.0,1.0
US,VN,25.0,0.16129032258064516
VN,AU,66.0,0.30275229357798167
VN,BN,116.0,0.5321100917431193
VN,CA,98.0,0.44954128440366975
VN,CL,112.0,0.5137614678899083
VN,JP,35.0,0.16055045871559634
VN,MX,105.0,0.481651376146789
VN,MY,108.0,0.4954128440366973
VN,NZ,93.0,0.42660550458715596
VN,PE,95.0,0.43577981651376146
VN,SG,98.0,0.44954128440366975
VN,US,25.0,0.11467889908256881
VN,VN,218.0,1.0
