voting_country,partner,sim_votes,sim_pct,baseline
United States,Singapore,49,0.3161290322580645,155
United States,United States,155,1.0,155
United States,Vietnam,25,0.16129032258064516,155
Vietnam,Australia,66,0.30275229357798167,218
Vietnam,Brunei,116,0.5321100917431193,218
Vietnam,Canada,98,0.44954128440366975,218
Vietnam,Chile,112,0.5137614678899083,218
Vietnam,Japan,35,0.16055045871559634,218
Vietnam,Mexico,105,0.481651376146789,218
Vietnam,Malaysia,108,0.4954128440366973,218
Vietnam,New Zealand,93,0.42660550458715596,218
Vietnam,Peru,95,0.43577981651376146,218
Vietnam,Singapore,98,0.44954128440366975,218
Vietnam,United States,25,0.11467889908256881,218
Vietnam,Vietnam,218,1.0,218
