voting_country,partner,sim_votes,sim_pct,baseline
United States,Peru,64,0.3368421052631579,190
United States,Singapore,65,0.34210526315789475,190
United States,United States,190,1,190
United States,Vietnam,28,0.14736842105263157,190
Vietnam,Australia,70,0.3125,224
Vietnam,Brunei,120,0.5357142857142857,224
Vietnam,Canada,102,0.45535714285714285,224
Vietnam,Chile,116,0.5178571428571429,224
Vietnam,Japan,36,0.16071428571428573,224
Vietnam,Mexico,109,0.48660714285714285,224
Vietnam,Malaysia,113,0.5044642857142857,224
Vietnam,New Zealand,98,0.4375,224
Vietnam,Peru,99,0.4419642857142857,224
Vietnam,Singapore,101,0.45089285714285715,224
Vietnam,United States,28,0.125,224
Vietnam,Vietnam,224,1,224
