,0,1,country_name
AU,-0.30983619991556965,-0.9966531716710401,Australia
BN,1.0662978728693733,0.1184161233900229,Brunei
CA,-0.06801056654088068,-0.3810245193840438,Canada
CL,0.41699608288528905,0.8565543354350196,Chile
JP,-1.2672290696030082,-0.8158134599674964,Japan
MX,-0.2975662322870749,0.4272656433026476,Mexico
MY,0.9797354029202339,-0.2738779870496571,Malaysia
NZ,0.5007772053566106,-0.5373210331005636,New Zealand
PE,-0.10734764658861523,0.7790780353263576,Peru
SG,0.36071806760962916,0.32677023183940834,Singapore
US,-2.2106270223003133,-0.004773347481411283,United States
VN,0.9360921055943268,0.5013791493607567,Vietnam
